"Spring 2006
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST JOUR PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies      GEST
Subtotal Other - Special        CLMD Populations             COFD
MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,990,6.1%,48,4.3%,172,-0.6%,145,13.3%,,7,0.0%,39,-17.0%,,1,-83.3%,"1,402",4.6%,
,288,5.9%,18,20.0%,62,17.0%,33,22.2%,,3,0.0%,102,2.0%,,4,-33.3%,510,7.1%,
,268,-10.1%,4,-42.9%,35,25.0%,16,14.3%,,,,44,-18.5%,,4,0.0%,371,-8.4%,
,114,12.9%,4,100.0%,20,122.2%,10,100.0%,,2,100.0%,90,-2.2%,,1,0.0%,241,14.2%,
,21,-19.2%,0,-100.0%,1,0.0%,3,50.0%,,,,42,2.4%,,1,0.0%,68,-5.6%,
,"1,681",3.1%,74,4.2%,290,9.8%,207,17.6%,,12,9.1%,317,-5.1%,,11,-38.9%,"2,592",3.5%,
,"1,721",-4.9%,39,-4.9%,261,1.2%,161,20.1%,,9,-25.0%,8,-20.0%,,9,-35.7%,"2,208",-3.1%,
,24,-7.7%,,,1,0.0%,3,50.0%,,1,100.0%,7,-53.3%,,0,-100.0%,36,-20.0%,
,4,33.3%,,,1,100.0%,,,,,,,,,,,5,66.7%,
,1,-50.0%,,,,,1,0.0%,,,,1,-50.0%,,,,3,-40.0%,
,37,-11.9%,2,100.0%,5,0.0%,1,-50.0%,,,,17,0.0%,,2,0.0%,64,-5.9%,
,5,-28.6%,0,-100.0%,1,100.0%,1,-66.7%,,,,7,-65.0%,,,,14,-54.8%,
,"1,792",-5.1%,41,-2.4%,269,1.9%,167,17.6%,,10,-16.7%,40,-37.5%,,11,-35.3%,"2,330",-4.1%,
,"2,449",-6.2%,112,-3.4%,478,-2.4%,121,0.8%,,24,26.3%,17,21.4%,,6,-14.3%,"3,207",-5.1%,
,"2,449",-6.2%,112,-3.4%,478,-2.4%,121,0.8%,,24,26.3%,17,21.4%,,6,-14.3%,"3,207",-5.1%,
,2,-50.0%,,,0,-100.0%,,,,,,5,0.0%,,,,7,-36.4%,
,127,1054.5%,3,100.0%,16,1500.0%,10,900.0%,,,,127,568.4%,,2,100.0%,285,790.6%,
,,,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,1,-66.7%,,,1,100.0%,,,,,,1,100.0%,,,,3,0.0%,
,,,,,,,,,,,,48,6.7%,,,,48,6.7%,
,9,-10.0%,1,0.0%,3,0.0%,0,-100.0%,,,,2,0.0%,,1,-50.0%,16,-23.8%,
,139,396.4%,4,300.0%,20,233.3%,10,150.0%,,,,183,154.2%,,3,50.0%,359,217.7%,
,"31,159",-0.7%,"1,178",11.0%,"4,265",9.2%,"1,430",10.8%,,197,2.1%,"3,149",-5.6%,,213,-21.4%,"41,591",0.4%,
"Prepared by OISP, 21 Apr 06",,,,,,,,,,,,,,,,,,,
