Summer 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
Education,CPSY,15,-25.0%,6,0.0%,4,0.0%,1,-50.0%,,,1,0.0%,1,0.0%,28,-17.6%,
,EDAD,132,0.8%,23,27.8%,41,5.1%,1,-50.0%,0,-100.0%,4,100.0%,2,0.0%,203,4.1%,
,EDCI,269,20.6%,46,100.0%,36,5.9%,3,-50.0%,3,-25.0%,22,29.4%,1,0.0%,380,23.4%,
,EDHL,114,107.3%,7,-12.5%,22,175.0%,10,233.3%,0,-100.0%,2,-33.3%,1,100.0%,156,100.0%,
,EDIS,125,-10.1%,12,50.0%,14,40.0%,4,33.3%,1,100.0%,0,-100.0%,1,-50.0%,157,-3.7%,
,EDKI,153,26.4%,12,50.0%,24,166.7%,3,50.0%,0,-100.0%,,,1,0.0%,193,35.9%,
,EDSM,94,-10.5%,12,-14.3%,11,10.0%,,,1,100.0%,,,,,118,-8.5%,
,EDTC,12,33.3%,,,2,100.0%,,,,,5,100.0%,,,19,90.0%,
,EHRD,55,10.0%,15,36.4%,18,28.6%,4,33.3%,,,9,-35.7%,2,0.0%,103,9.6%,
,EPSY,75,44.2%,10,100.0%,22,83.3%,2,100.0%,0,-100.0%,17,-5.6%,1,100.0%,127,44.3%,
,HEED,10,-41.2%,7,250.0%,1,0.0%,2,-33.3%,1,100.0%,3,-25.0%,,,24,-11.1%,
,HLTH,89,-11.0%,8,100.0%,13,-7.1%,0,-100.0%,1,0.0%,,,0,-100.0%,111,-9.8%,
,HRDL,38,100.0%,5,100.0%,7,100.0%,3,100.0%,,,2,100.0%,,,55,100.0%,
,HRDV,47,100.0%,3,100.0%,6,100.0%,1,100.0%,,,,,,,57,100.0%,
,INST,369,3.9%,8,33.3%,54,10.2%,8,14.3%,1,-50.0%,3,100.0%,1,-50.0%,444,5.5%,
,ISNC,94,-56.5%,8,-46.7%,13,-61.8%,1,-88.9%,1,-50.0%,0,-100.0%,0,-100.0%,117,-57.9%,
,KINE,213,-11.3%,2,-77.8%,13,-45.8%,5,25.0%,1,100.0%,23,76.9%,2,0.0%,259,-11.3%,
,PHED,4,-20.0%,,,1,100.0%,,,,,1,100.0%,,,6,20.0%,
,SPMT,145,3.6%,5,25.0%,8,-52.9%,2,-33.3%,2,100.0%,,,0,-100.0%,162,-2.4%,
,SPSY,22,4.8%,5,-16.7%,9,0.0%,3,0.0%,,,1,0.0%,,,40,0.0%,
,TCMG,12,100.0%,,,3,100.0%,2,100.0%,,,,,,,17,100.0%,
,TCML,13,100.0%,1,100.0%,1,100.0%,2,100.0%,,,,,,,17,100.0%,
,TECR,3,-40.0%,,,1,100.0%,,,,,,,,,4,-20.0%,
,Subtotal,"2,103",4.9%,195,32.7%,324,12.1%,57,7.5%,12,-14.3%,93,24.0%,13,-18.8%,"2,797",7.7%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,
